Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://www.cuscoperu.com/imagenes/g_alojamiento/bedroom-double-casa-andina.jpg	200	ok	image/jpeg	13279		20.02.2017  17:46:09	4		3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.440	utf-8	
https://www.cuscoperu.com/en/tours/sacred-valley/pisac/	200	ok	text/html	238	           <span itemprop="title">Pisac</span>          		2	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.502	iso-8859-1	
https://www.cuscoperu.com/es/tours/camino-inca/salkantay-machu-picchu/	200	ok	text/html	253	           <span itemprop="title">Salkantay - Machu Picchu</span>          		3	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.861	iso-8859-1	
https://www.cuscoperu.com/en/hotels/machu-picchu/machu-picchu-sanctuary-lodge/	200	ok	text/html	261	            <span itemprop="title">Machu Picchu Sanctuary Lodge</span>           		4	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.563	iso-8859-1	
https://www.cuscoperu.com/pt/passeios/machu-picchu/machu-picchu-classico/	200	ok	text/html	256	           <span itemprop="title">Cusco e Machu Picchu</span>          		4	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.175	iso-8859-1	
https://www.cuscoperu.com/en/hotels/cusco-city/in-casita/	200	ok	text/html	240	            <span itemprop="title">In Casita</span>           		6	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.441	iso-8859-1	
https://www.cuscoperu.com/pt/alojamentos/cusco-cidade/the-garden-house/	200	ok	text/html	254	            <span itemprop="title">The Garden House</span>           		6	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.607	iso-8859-1	
https://www.cuscoperu.com/imagenes/g_alojamiento/reception-room-the-garden-house.jpg	200	ok	image/jpeg	24639		20.02.2017  17:46:09	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.276	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/the-garden-house-yard.jpg	200	ok	image/jpeg	26273		20.02.2017  17:46:09	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.982	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/yard-the-garden-house.jpg	200	ok	image/jpeg	19207		20.02.2017  17:46:10	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.745	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/reception-room-garden-house.jpg	200	ok	image/jpeg	16208		20.02.2017  17:46:09	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.116	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/the-garden-house-bedroom-simple.jpg	200	ok	image/jpeg	17658		20.02.2017  17:46:09	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.781	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/the-garden-house-reception-room.jpg	200	ok	image/jpeg	16590		20.02.2017  17:46:10	6		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.316	utf-8	
